country code,place name,admin code1,admin name1,Latitude,Longitude,,,Nom_fr
CA,Baddeck,NS,Nova Scotia,46.101371,-60.75365,,,Baddeck
CA,Wood Islands,PE,Prince Edward Island,45.965852,-62.75645,,,Wood Islands
CA,Clark's Harbour,NS,Nova Scotia,43.446273,-65.635724,,,Clark's Harbour
CA,Musquodoboit Harbour,NS,Nova Scotia,44.787813,-63.146767,,,Musquodoboit Harbour
CA,South Harbour,NS,Nova Scotia,46.869108,-60.463842,,,South Harbour
CA,Meteghan,NS,Nova Scotia,44.185635,-66.161248,,,Meteghan
CA,Mahone Bay,NS,Nova Scotia,44.448587,-64.380442,,,Mahone Bay
CA,Canso,NS,Nova Scotia,45.33562,-60.995228,,,Canso
CA,Murray Harbour,PE,Prince Edward Island,46.003505,-62.521319,,,Murray Harbour
CA,Morell,PE,Prince Edward Island,46.414862,-62.704972,,,Morell
CA,Mount Stewart,PE,Prince Edward Island,46.369157,-62.868262,,,Mount Stewart
CA,Red Bay,NL,Newfoundland and Labrador,51.74463,-56.426012,,,Red Bay
CA,Miminegash,PE,Prince Edward Island,46.880718,-64.22564,,,Miminegash
CA,Gaspereaux,PE,Prince Edward Island,46.105535,-62.476079,,,Gaspereaux
CA,St-Raphaël,PE,Prince Edward Island,46.425262,-64.017046,,,St-Raphaël
CA,Louisdale,NS,Nova Scotia,45.606494,-61.063595,,,Louisdale
CA,Havre Boucher,NS,Nova Scotia,45.68452,-61.534711,,,Havre Boucher
CA,Clyde River,NS,Nova Scotia,43.630886,-65.477321,,,Clyde River
CA,Walton,NS,Nova Scotia,45.229556,-64.001939,,,Walton
CA,Merigomish,NS,Nova Scotia,45.63271,-62.433109,,,Merigomish
CA,Capstick,NS,Nova Scotia,47.003161,-60.515017,,,Capstick
CA,Ingonish Centre,NS,Nova Scotia,46.680493,-60.408404,,,Ingonish Centre
CA,Port Morien,NS,Nova Scotia,46.133524,-59.873956,,,Port Morien
CA,L'Ardoise,NS,Nova Scotia,45.614505,-60.766787,,,L'Ardoise
CA,Margaree Forks,NS,Nova Scotia,46.331078,-61.090195,,,Margaree Forks
CA,Elmira,PE,Prince Edward Island,46.441238,-62.064408,,,Elmira
CA,Grande Anse,NS,Nova Scotia,45.626055,-61.069144,,,Grande Anse
CA,Whycocomagh,NS,Nova Scotia,45.974325,-61.12718,,,Whycocomagh
CA,Mabou,NS,Nova Scotia,46.072911,-61.392098,,,Mabou
CA,Advocate Harbour,NS,Nova Scotia,45.336814,-64.783246,,,Advocate Harbour
CA,Sandy Point,NS,Nova Scotia,43.710782,-65.319271,,,Sandy Point
CA,Port Hood,NS,Nova Scotia,46.017664,-61.529844,,,Port Hood
CA,Askilton,NS,Nova Scotia,45.69046,-61.312246,,,Askilton
CA,Judique,NS,Nova Scotia,45.876011,-61.490657,,,Judique
CA,Tangier,NS,Nova Scotia,44.801573,-62.698985,,,Tangier
CA,Mushaboom,NS,Nova Scotia,44.850738,-62.533687,,,Mushaboom
CA,Moser River,NS,Nova Scotia,44.974953,-62.254173,,,Moser River
CA,Londonderry,NS,Nova Scotia,45.474488,-63.602802,,,Londonderry
CA,Hopewell,NS,Nova Scotia,45.482811,-62.699494,,,Hopewell
CA,New Germany,NS,Nova Scotia,44.538594,-64.711955,,,New Germany
CA,Jordan Falls,NS,Nova Scotia,43.815532,-65.233595,,,Jordan Falls
CA,Ingonish,NS,Nova Scotia,46.692015,-60.373185,,,Ingonish
CA,Shag Harbour,NS,Nova Scotia,43.498533,-65.702969,,,Shag Harbour
CA,Lower Woods Harbour,NS,Nova Scotia,43.51616,-65.73474,,,Lower Woods Harbour
CA,West Wentworth,NS,Nova Scotia,45.685893,-63.603188,,,West Wentworth
CA,Upper Musquodoboit,NS,Nova Scotia,45.134083,-62.946919,,,Upper Musquodoboit
CA,Brighton,NS,Nova Scotia,44.553008,-65.853955,,,Brighton
CA,Guysborough,NS,Nova Scotia,45.391732,-61.503125,,,Guysborough
CA,West Chezzetcook,NS,Nova Scotia,44.716185,-63.266519,,,West Chezzetcook
CA,Middle Musquodoboit,NS,Nova Scotia,45.043763,-63.149622,,,Middle Musquodoboit
CA,Wedgeport,NS,Nova Scotia,43.739225,-65.979654,,,Wedgeport
CA,Brooklyn,NS,Nova Scotia,45.006962,-64.013123,,,Brooklyn
CA,Deep Brook,NS,Nova Scotia,44.636614,-65.654258,,,Deep Brook
CA,Plymouth,NS,Nova Scotia,43.801067,-66.015188,,,Plymouth
CA,Martins River,NS,Nova Scotia,44.486178,-64.335413,,,Martins River
CA,Saulnierville,NS,Nova Scotia,44.264199,-66.129985,,,Saulnierville
CA,East Kemptville,NS,Nova Scotia,44.087032,-65.769705,,,East Kemptville
CA,Economy,NS,Nova Scotia,45.384636,-63.916967,,,Economy
CA,Great Village,NS,Nova Scotia,45.411669,-63.596237,,,Great Village
CA,Noel,NS,Nova Scotia,45.295738,-63.747985,,,Noel
CA,Middlewood,NS,Nova Scotia,44.229763,-64.573857,,,Middlewood
CA,Debert,NS,Nova Scotia,45.437936,-63.459815,,,Debert
CA,Pleasant Bay,NS,Nova Scotia,46.827546,-60.801122,,,Pleasant Bay
CA,Northport,NS,Nova Scotia,45.932583,-63.867604,,,Northport
CA,Tatamagouche,NS,Nova Scotia,45.709407,-63.294496,,,Tatamagouche
CA,Pugwash,NS,Nova Scotia,45.850485,-63.662234,,,Pugwash
CA,Kennetcook,NS,Nova Scotia,45.176299,-63.721843,,,Kennetcook
CA,Wallace,NS,Nova Scotia,45.812571,-63.472779,,,Wallace
CA,Hacketts Cove,NS,Nova Scotia,44.567392,-63.923574,,,Hacketts Cove
CA,Sambro,NS,Nova Scotia,44.474754,-63.603401,,,Sambro
CA,Margaretsville,NS,Nova Scotia,45.047082,-65.063417,,,Margaretsville
CA,Greenfield,NS,Nova Scotia,44.272901,-64.841565,,,Greenfield
CA,River John,NS,Nova Scotia,45.752335,-63.069545,,,River John
CA,Weymouth,NS,Nova Scotia,44.41867,-66.001479,,,Weymouth
CA,Porters Lake,NS,Nova Scotia,44.737171,-63.310043,,,Porters Lake
CA,Lake Echo,NS,Nova Scotia,44.735923,-63.392341,,,Lake Echo
CA,Donkin,NS,Nova Scotia,46.184763,-59.872709,,,Donkin
CA,Port Hastings,NS,Nova Scotia,45.649814,-61.404096,,,Port Hastings
CA,Bay St. Lawrence,NS,Nova Scotia,47.00368,-60.463965,,,Bay St. Lawrence
CA,Neils Harbour,NS,Nova Scotia,46.81078,-60.324076,,,Neils Harbour
CA,Dingwall,NS,Nova Scotia,46.895625,-60.477412,,,Dingwall
CA,Cape North,NS,Nova Scotia,46.887584,-60.50285,,,Cape North
CA,New Haven,NS,Nova Scotia,46.824102,-60.321006,,,New Haven
CA,St. Margaret Village,NS,Nova Scotia,46.989203,-60.47451,,,St. Margaret Village
CA,Meat Cove,NS,Nova Scotia,47.026462,-60.569817,,,Meat Cove
CA,Ingonish Beach,NS,Nova Scotia,46.63788,-60.402891,,,Ingonish Beach
CA,Little River,NS,Nova Scotia,46.442915,-60.466548,,,Little River
CA,Ingonish Ferry,NS,Nova Scotia,46.627993,-60.392063,,,Ingonish Ferry
CA,Wreck Cove,NS,Nova Scotia,46.548991,-60.41078,,,Wreck Cove
CA,Birch Plain,NS,Nova Scotia,46.512413,-60.4271,,,Birch Plain
CA,French River,NS,Nova Scotia,46.490839,-60.440366,,,French River
CA,River Bennet,NS,Nova Scotia,46.33329,-60.535751,,,River Bennet
CA,Indian Brook,NS,Nova Scotia,46.370384,-60.53198,,,Indian Brook
CA,Tarbot,NS,Nova Scotia,46.336687,-60.595273,,,Tarbot
CA,Jersey Cove,NS,Nova Scotia,46.310863,-60.546862,,,Jersey Cove
CA,Big Bank,NS,Nova Scotia,46.212648,-60.498695,,,Big Bank
CA,St. Anns,NS,Nova Scotia,46.213049,-60.60635,,,St. Anns
CA,Middle River,NS,Nova Scotia,46.154269,-60.924996,,,Middle River
CA,Boularderie,NS,Nova Scotia,46.165876,-60.565113,,,Boularderie
CA,MacAulays Hill,NS,Nova Scotia,46.143334,-60.679916,,,MacAulays Hill
CA,Baddeck Bay,NS,Nova Scotia,46.131959,-60.695559,,,Baddeck Bay
CA,Englishtown,NS,Nova Scotia,46.27974,-60.54438,,,Englishtown
CA,New Campbellton,NS,Nova Scotia,46.290562,-60.429246,,,New Campbellton
CA,Grand Narrows,NS,Nova Scotia,45.95561,-60.790385,,,Grand Narrows
CA,Baddeck Bridge,NS,Nova Scotia,46.122689,-60.797676,,,Baddeck Bridge
CA,Big Bras d'Or,NS,Nova Scotia,46.271521,-60.425801,,,Big Bras d'Or
CA,Big Farm,NS,Nova Scotia,46.10378,-60.819263,,,Big Farm
CA,Little Narrows,NS,Nova Scotia,45.990451,-60.981731,,,Little Narrows
CA,McKinnons Harbour,NS,Nova Scotia,45.946525,-60.903303,,,McKinnons Harbour
CA,Jamesville,NS,Nova Scotia,45.946774,-60.849772,,,Jamesville
CA,Iona,NS,Nova Scotia,45.961555,-60.807418,,,Iona
CA,Nyanza,NS,Nova Scotia,46.092618,-60.889626,,,Nyanza
CA,Lower Washabuck,NS,Nova Scotia,46.069437,-60.768153,,,Lower Washabuck
CA,North River Bridge,NS,Nova Scotia,46.303899,-60.629756,,,North River Bridge
CA,Crescent Grove,NS,Nova Scotia,46.118167,-60.722679,,,Crescent Grove
CA,Forks Baddeck,NS,Nova Scotia,46.17798,-60.767619,,,Forks Baddeck
CA,Inlet Baddeck,NS,Nova Scotia,46.079234,-60.820008,,,Inlet Baddeck
CA,Estmere,NS,Nova Scotia,45.932001,-60.980137,,,Estmere
CA,Big Hill,NS,Nova Scotia,46.165542,-60.641454,,,Big Hill
CA,Ross Ferry,NS,Nova Scotia,46.143497,-60.581705,,,Ross Ferry
CA,Red River,NS,Nova Scotia,46.845341,-60.774409,,,Red River
CA,Portree,NS,Nova Scotia,46.401273,-60.965381,,,Portree
CA,Petit Étang,NS,Nova Scotia,46.648375,-60.976089,,,Petit Étang
CA,La Prairie,NS,Nova Scotia,46.638709,-60.970143,,,La Prairie
CA,Belle-Marche,NS,Nova Scotia,46.624918,-60.985756,,,Belle-Marche
CA,Plateau,NS,Nova Scotia,46.592872,-61.00729,,,Plateau
CA,Grand Étang,NS,Nova Scotia,46.546247,-61.048773,,,Grand Étang
CA,St. Joseph du Moine,NS,Nova Scotia,46.532241,-61.060016,,,St. Joseph du Moine
CA,Cap Le Moine,NS,Nova Scotia,46.507905,-61.071794,,,Cap Le Moine
CA,Margaree Harbour,NS,Nova Scotia,46.448815,-61.096401,,,Margaree Harbour
CA,Margaree,NS,Nova Scotia,46.392817,-61.072397,,,Margaree
CA,Inverside,NS,Nova Scotia,46.238966,-61.27459,,,Inverside
CA,North East Margaree,NS,Nova Scotia,46.328767,-61.00232,,,North East Margaree
CA,Margaree Centre,NS,Nova Scotia,46.344144,-61.003603,,,Margaree Centre
CA,Egypt Road,NS,Nova Scotia,46.337958,-60.952532,,,Egypt Road
CA,Emerald,NS,Nova Scotia,46.322725,-61.044888,,,Emerald
CA,South West Margaree,NS,Nova Scotia,46.280908,-61.140594,,,South West Margaree
CA,Upper Margaree,NS,Nova Scotia,46.218385,-61.133679,,,Upper Margaree
CA,Scotsville,NS,Nova Scotia,46.189027,-61.15406,,,Scotsville
CA,Belle Côte,NS,Nova Scotia,46.435651,-61.118795,,,Belle Côte
CA,Broad Cove Banks,NS,Nova Scotia,46.212961,-61.334486,,,Broad Cove Banks
CA,Harbourview,NS,Nova Scotia,45.985982,-61.524276,,,Harbourview
CA,Deepdale,NS,Nova Scotia,46.195079,-61.28344,,,Deepdale
CA,Soapstone Mine,NS,Nova Scotia,45.985678,-61.183439,,,Soapstone Mine
